epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,5.67605,0.62298,0.84848,1,0.86475,0.0901,0.0001,0.0001
2,12.1925,0.48063,0.77273,1,0.45471,0.0792079,0.000207921,0.000207921
3,17.3708,0.45084,0.81818,1,0.32019,0.0683137,0.000313664,0.000313664
4,22.722,0.38318,0.81818,1,0.33337,0.0574172,0.000417229,0.000417229
5,29.3148,0.36794,0.81818,1,0.31665,0.0465186,0.000518616,0.000518616
6,34.5623,0.36926,0.83333,1,0.6416,0.0356178,0.000617825,0.000617825
7,40.0194,0.32075,0.80303,1,0.3009,0.0247149,0.000714856,0.000714856
8,46.2104,0.29269,0.86364,1,0.21964,0.0138097,0.000809709,0.000809709
9,50.9058,0.28328,0.83333,1,1.3042,0.00290238,0.000902384,0.000902384
10,58.4033,0.23014,0.84848,1,1.78308,0.0009109,0.0009109,0.0009109
11,63.563,0.25589,0.78788,1,0.53101,0.000901,0.000901,0.000901
12,72.2364,0.1796,0.80303,1,0.4635,0.0008911,0.0008911,0.0008911
13,76.8185,0.181,0.83333,1,0.39233,0.0008812,0.0008812,0.0008812
14,83.1971,0.1615,0.86364,1,0.25899,0.0008713,0.0008713,0.0008713
15,89.2739,0.11783,0.90909,1,0.22559,0.0008614,0.0008614,0.0008614
16,94.6832,0.11147,0.89394,1,1.55725,0.0008515,0.0008515,0.0008515
17,100.977,0.11163,0.83333,1,1.65918,0.0008416,0.0008416,0.0008416
18,106.593,0.09524,0.77273,1,0.47351,0.0008317,0.0008317,0.0008317
19,112.129,0.13064,0.75758,1,0.92725,0.0008218,0.0008218,0.0008218
20,118.244,0.1124,0.81818,1,0.39986,0.0008119,0.0008119,0.0008119
21,122.947,0.08064,0.78788,1,1.44458,0.000802,0.000802,0.000802
22,129.667,0.13115,0.81818,1,0.39701,0.0007921,0.0007921,0.0007921
23,134.279,0.11745,0.74242,1,0.51989,0.0007822,0.0007822,0.0007822
24,140.258,0.14823,0.77273,1,0.55255,0.0007723,0.0007723,0.0007723
25,145.621,0.13681,0.81818,1,0.38594,0.0007624,0.0007624,0.0007624
26,150.884,0.10253,0.80303,1,0.37581,0.0007525,0.0007525,0.0007525
27,157.17,0.11864,0.84848,1,0.41348,0.0007426,0.0007426,0.0007426
28,162.281,0.08038,0.78788,1,0.39131,0.0007327,0.0007327,0.0007327
29,167.896,0.07137,0.78788,1,0.41885,0.0007228,0.0007228,0.0007228
30,175.583,0.08495,0.78788,1,2.80518,0.0007129,0.0007129,0.0007129
31,180.692,0.09133,0.75758,1,0.6825,0.000703,0.000703,0.000703
32,187.593,0.06594,0.75758,1,0.4774,0.0006931,0.0006931,0.0006931
33,192.329,0.05021,0.75758,1,0.58423,0.0006832,0.0006832,0.0006832
34,199.653,0.1587,0.81818,1,0.45367,0.0006733,0.0006733,0.0006733
35,205.394,0.05798,0.80303,1,2.18164,0.0006634,0.0006634,0.0006634
